description,A,B,C,lat,lon,alt,alpha,beta,gamma,colour
X090_Y090_Z000,25,50,200,51.530,-3.0722,0.0,90,90,0,fuchsia
X090_Y090_Z010,25,50,200,51.531,-3.0722,0.0,90,90,10,fuchsia
X090_Y090_Z020,25,50,200,51.532,-3.0722,0.0,90,90,20,fuchsia
X090_Y090_Z030,25,50,200,51.533,-3.0722,0.0,90,90,30,fuchsia
X090_Y090_Z040,25,50,200,51.534,-3.0722,0.0,90,90,40,fuchsia
X090_Y090_Z050,25,50,200,51.535,-3.0722,0.0,90,90,50,fuchsia
X090_Y090_Z060,25,50,200,51.536,-3.0722,0.0,90,90,60,fuchsia
X090_Y090_Z070,25,50,200,51.537,-3.0722,0.0,90,90,70,fuchsia
X090_Y090_Z080,25,50,200,51.538,-3.0722,0.0,90,90,80,fuchsia
X090_Y090_Z090,25,50,200,51.539,-3.0722,0.0,90,90,90,fuchsia
